tf,id,sensitive
ENSG00000008197,208,True
ENSG00000008441,223,True
ENSG00000010818,275,True
ENSG00000011332,295,True
ENSG00000030419,487,True
ENSG00000062194,840,True
ENSG00000065970,954,True
ENSG00000067082,998,True
ENSG00000069667,1081,True
ENSG00000072736,1204,True
ENSG00000073282,1227,True
ENSG00000073861,1248,True
ENSG00000077092,1370,True
ENSG00000083307,1593,True
ENSG00000084676,1636,True
ENSG00000085276,1652,True
ENSG00000087510,1752,True
ENSG00000087903,1757,True
ENSG00000089225,1831,True
ENSG00000091656,1941,True
ENSG00000091831,1945,True
ENSG00000095951,2049,True
ENSG00000100644,2360,True
ENSG00000100968,2410,True
ENSG00000101076,2429,True
ENSG00000101412,2515,True
ENSG00000102870,2707,True
ENSG00000102935,2727,True
ENSG00000103449,2813,True
ENSG00000105698,3163,True
ENSG00000105866,3200,True
ENSG00000106689,3339,True
ENSG00000106852,3357,True
ENSG00000111249,3858,True
ENSG00000111783,3944,True
ENSG00000112033,3982,True
ENSG00000112246,4023,True
ENSG00000112561,4071,True
ENSG00000112837,4107,True
ENSG00000115112,4357,True
ENSG00000116809,4618,True
ENSG00000116833,4623,True
ENSG00000117000,4648,True
ENSG00000118263,4786,True
ENSG00000118922,4846,True
ENSG00000119547,4905,True
ENSG00000120798,5084,True
ENSG00000121068,5121,True
ENSG00000123358,5357,True
ENSG00000123411,5366,True
ENSG00000124496,5513,True
ENSG00000124813,5572,True
ENSG00000125398,5620,True
ENSG00000125618,5652,True
ENSG00000126368,5789,True
ENSG00000127152,5865,True
ENSG00000128573,6006,True
ENSG00000129173,6081,True
ENSG00000131759,6456,True
ENSG00000132005,6492,True
ENSG00000133794,6754,True
ENSG00000134046,6787,True
ENSG00000134317,6842,True
ENSG00000134323,6845,True
ENSG00000134852,6931,True
ENSG00000135111,6977,True
ENSG00000137203,7389,True
ENSG00000137270,7405,True
ENSG00000138795,7705,True
ENSG00000139083,7725,True
ENSG00000139793,7841,True
ENSG00000140548,7953,True
ENSG00000140968,8004,True
ENSG00000142611,8218,True
ENSG00000143033,8267,True
ENSG00000143171,8292,True
ENSG00000143190,8298,True
ENSG00000143355,8333,True
ENSG00000143365,8335,True
ENSG00000143373,8339,True
ENSG00000143437,8358,True
ENSG00000144355,8511,True
ENSG00000147862,8979,True
ENSG00000148516,9061,True
ENSG00000150907,9294,True
ENSG00000151090,9313,True
ENSG00000153234,9588,True
ENSG00000158055,10120,True
ENSG00000160007,10350,True
ENSG00000160094,10362,True
ENSG00000161405,10541,True
ENSG00000162761,10765,True
ENSG00000162924,10804,True
ENSG00000164683,11345,True
ENSG00000164684,11346,True
ENSG00000167182,11961,True
ENSG00000168610,12315,True
ENSG00000168916,12385,True
ENSG00000169554,12527,True
ENSG00000169946,12614,True
ENSG00000170370,12704,True
ENSG00000172733,13252,True
ENSG00000172819,13275,True
ENSG00000177463,14097,True
ENSG00000178177,14217,True
ENSG00000179348,14409,True
ENSG00000179361,14410,True
ENSG00000179456,14423,True
ENSG00000180357,14554,True
ENSG00000185551,15581,True
ENSG00000185591,15588,True
ENSG00000187098,15935,True
ENSG00000187605,16016,True
ENSG00000189308,16393,True
ENSG00000196092,16425,True
ENSG00000196482,16560,True
ENSG00000196628,16602,True
ENSG00000197757,16914,True
ENSG00000198815,17252,True
ENSG00000198945,17329,True
ENSG00000198963,17339,True
ENSG00000204231,17570,True
ENSG00000010539,268,False
ENSG00000011590,308,False
ENSG00000063438,862,False
ENSG00000063587,864,False
ENSG00000064218,878,False
ENSG00000064489,886,False
ENSG00000067646,1017,False
ENSG00000075407,1309,False
ENSG00000079263,1458,False
ENSG00000081386,1539,False
ENSG00000083812,1608,False
ENSG00000083814,1609,False
ENSG00000083828,1611,False
ENSG00000083838,1612,False
ENSG00000083844,1613,False
ENSG00000085644,1665,False
ENSG00000089335,1838,False
ENSG00000089775,1853,False
ENSG00000102901,2719,False
ENSG00000103199,2774,False
ENSG00000105136,3029,False
ENSG00000105610,3134,False
ENSG00000105672,3155,False
ENSG00000106410,3295,False
ENSG00000106948,3361,False
ENSG00000109705,3686,False
ENSG00000115568,4445,False
ENSG00000117010,4650,False
ENSG00000118620,4824,False
ENSG00000119574,4907,False
ENSG00000120669,5062,False
ENSG00000121406,5149,False
ENSG00000121864,5190,False
ENSG00000122085,5218,False
ENSG00000124203,5457,False
ENSG00000124232,5473,False
ENSG00000124444,5502,False
ENSG00000124613,5537,False
ENSG00000125520,5643,False
ENSG00000127081,5859,False
ENSG00000127903,5931,False
ENSG00000127989,5944,False
ENSG00000129028,6065,False
ENSG00000129071,6069,False
ENSG00000129194,6083,False
ENSG00000130544,6257,False
ENSG00000130818,6321,False
ENSG00000131848,6470,False
ENSG00000132010,6493,False
ENSG00000132846,6634,False
ENSG00000133250,6703,False
ENSG00000134874,6936,False
ENSG00000135899,7125,False
ENSG00000136866,7314,False
ENSG00000137185,7385,False
ENSG00000137504,7445,False
ENSG00000138380,7616,False
ENSG00000140993,8011,False
ENSG00000141946,8144,False
ENSG00000142556,8213,False
ENSG00000143067,8270,False
ENSG00000144026,8467,False
ENSG00000144161,8489,False
ENSG00000145908,8725,False
ENSG00000146587,8819,False
ENSG00000147183,8894,False
ENSG00000147789,8972,False
ENSG00000148300,9024,False
ENSG00000149054,9115,False
ENSG00000149922,9218,False
ENSG00000151500,9367,False
ENSG00000151650,9384,False
ENSG00000151657,9387,False
ENSG00000152439,9486,False
ENSG00000152467,9494,False
ENSG00000152475,9495,False
ENSG00000153975,9653,False
ENSG00000155592,9831,False
ENSG00000156469,9937,False
ENSG00000157429,10048,False
ENSG00000159882,10340,False
ENSG00000159885,10342,False
ENSG00000159915,10345,False
ENSG00000160224,10397,False
ENSG00000160229,10399,False
ENSG00000160352,10422,False
ENSG00000160908,10492,False
ENSG00000160961,10501,False
ENSG00000161277,10534,False
ENSG00000162086,10623,False
ENSG00000163516,10969,False
ENSG00000164011,11138,False
ENSG00000164048,11151,False
ENSG00000164296,11247,False
ENSG00000164299,11248,False
ENSG00000165066,11443,False
ENSG00000165512,11548,False
ENSG00000165643,11577,False
ENSG00000165684,11591,False
ENSG00000166529,11810,False
ENSG00000166823,11867,False
ENSG00000166860,11880,False
ENSG00000167034,11928,False
ENSG00000167384,12006,False
ENSG00000167554,12041,False
ENSG00000167625,12061,False
ENSG00000167785,12121,False
ENSG00000167800,12126,False
ENSG00000167840,12131,False
ENSG00000167962,12154,False
ENSG00000167981,12165,False
ENSG00000168152,12213,False
ENSG00000168286,12243,False
ENSG00000168769,12347,False
ENSG00000169131,12435,False
ENSG00000169136,12436,False
ENSG00000169548,12524,False
ENSG00000169951,12615,False
ENSG00000169955,12617,False
ENSG00000169989,12625,False
ENSG00000170260,12674,False
ENSG00000170608,12764,False
ENSG00000170954,12843,False
ENSG00000171291,12918,False
ENSG00000171295,12919,False
ENSG00000171425,12944,False
ENSG00000171443,12949,False
ENSG00000171466,12959,False
ENSG00000171469,12961,False
ENSG00000171574,12995,False
ENSG00000171606,13001,False
ENSG00000171827,13051,False
ENSG00000171872,13066,False
ENSG00000171970,13085,False
ENSG00000172000,13091,False
ENSG00000172888,13286,False
ENSG00000173041,13316,False
ENSG00000173258,13360,False
ENSG00000173480,13404,False
ENSG00000173673,13442,False
ENSG00000173825,13469,False
ENSG00000174255,13543,False
ENSG00000174652,13606,False
ENSG00000174796,13628,False
ENSG00000175279,13722,False
ENSG00000175325,13733,False
ENSG00000175395,13746,False
ENSG00000175691,13792,False
ENSG00000176009,13837,False
ENSG00000176024,13842,False
ENSG00000176083,13851,False
ENSG00000176222,13880,False
ENSG00000176302,13899,False
ENSG00000176472,13924,False
ENSG00000176678,13954,False
ENSG00000176679,13955,False
ENSG00000177030,14023,False
ENSG00000177494,14107,False
ENSG00000177599,14124,False
ENSG00000177683,14140,False
ENSG00000177842,14164,False
ENSG00000177873,14167,False
ENSG00000177932,14174,False
ENSG00000177946,14177,False
ENSG00000178150,14212,False
ENSG00000178229,14229,False
ENSG00000178338,14242,False
ENSG00000178386,14250,False
ENSG00000178665,14286,False
ENSG00000178917,14324,False
ENSG00000178928,14329,False
ENSG00000178935,14331,False
ENSG00000179195,14386,False
ENSG00000179772,14459,False
ENSG00000179774,14460,False
ENSG00000179886,14478,False
ENSG00000179909,14481,False
ENSG00000179922,14489,False
ENSG00000179930,14490,False
ENSG00000179943,14495,False
ENSG00000179965,14499,False
ENSG00000180257,14536,False
ENSG00000180346,14550,False
ENSG00000180532,14578,False
ENSG00000180535,14579,False
ENSG00000180938,14643,False
ENSG00000181135,14677,False
ENSG00000181444,14711,False
ENSG00000181450,14713,False
ENSG00000181638,14740,False
ENSG00000181894,14779,False
ENSG00000181896,14780,False
ENSG00000182318,14865,False
ENSG00000182983,15004,False
ENSG00000182986,15006,False
ENSG00000183340,15086,False
ENSG00000183647,15151,False
ENSG00000183734,15180,False
ENSG00000183850,15217,False
ENSG00000184221,15285,False
ENSG00000184517,15353,False
ENSG00000184635,15375,False
ENSG00000184677,15384,False
ENSG00000184895,15424,False
ENSG00000185155,15496,False
ENSG00000185252,15518,False
ENSG00000185404,15553,False
ENSG00000185730,15622,False
ENSG00000186020,15701,False
ENSG00000186026,15702,False
ENSG00000186051,15706,False
ENSG00000186103,15717,False
ENSG00000186230,15753,False
ENSG00000186300,15766,False
ENSG00000186376,15781,False
ENSG00000186446,15796,False
ENSG00000186496,15813,False
ENSG00000186777,15857,False
ENSG00000186812,15866,False
ENSG00000186814,15867,False
ENSG00000187626,16023,False
ENSG00000187801,16068,False
ENSG00000187821,16073,False
ENSG00000187855,16081,False
ENSG00000187987,16106,False
ENSG00000188033,16119,False
ENSG00000188095,16134,False
ENSG00000188171,16150,False
ENSG00000188295,16177,False
ENSG00000188321,16184,False
ENSG00000188629,16244,False
ENSG00000188785,16283,False
ENSG00000188868,16300,False
ENSG00000189164,16367,False
ENSG00000189190,16376,False
ENSG00000189298,16390,False
ENSG00000189299,16391,False
ENSG00000196152,16444,False
ENSG00000196172,16453,False
ENSG00000196214,16465,False
ENSG00000196345,16503,False
ENSG00000196357,16508,False
ENSG00000196378,16520,False
ENSG00000196381,16521,False
ENSG00000196387,16522,False
ENSG00000196391,16524,False
ENSG00000196417,16534,False
ENSG00000196418,16535,False
ENSG00000196456,16550,False
ENSG00000196460,16553,False
ENSG00000196466,16555,False
ENSG00000196605,16597,False
ENSG00000196646,16608,False
ENSG00000196652,16610,False
ENSG00000196670,16619,False
ENSG00000196693,16624,False
ENSG00000196705,16627,False
ENSG00000196812,16657,False
ENSG00000196946,16691,False
ENSG00000197008,16709,False
ENSG00000197020,16713,False
ENSG00000197037,16716,False
ENSG00000197044,16718,False
ENSG00000197054,16722,False
ENSG00000197124,16743,False
ENSG00000197134,16746,False
ENSG00000197162,16754,False
ENSG00000197213,16765,False
ENSG00000197279,16782,False
ENSG00000197343,16795,False
ENSG00000197360,16799,False
ENSG00000197363,16802,False
ENSG00000197472,16838,False
ENSG00000197779,16923,False
ENSG00000197841,16937,False
ENSG00000197857,16941,False
ENSG00000197863,16945,False
ENSG00000197928,16968,False
ENSG00000197933,16971,False
ENSG00000197951,16977,False
ENSG00000198028,17003,False
ENSG00000198039,17007,False
ENSG00000198046,17010,False
ENSG00000198185,17059,False
ENSG00000198205,17063,False
ENSG00000198300,17083,False
ENSG00000198315,17085,False
ENSG00000198342,17092,False
ENSG00000198346,17093,False
ENSG00000198429,17113,False
ENSG00000198440,17116,False
ENSG00000198464,17124,False
